,Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume,Headline Polarity,Headline Subjectivity,Content Polarity,Content Subjectivity
0,2018-05-24,13.606,15.7817,17.5391,15.8804,582587.0,0.0,0.0,0.3535533905932738,0.21213203435596426
1,2018-05-16,14.946,17.421,19.3624,15.8934,632779.0,0.05892556509887894,0.4321208107251123,0.08838834764831845,0.2946278254943947
2,2018-05-14,14.203,17.6299,19.8736,15.8631,625592.0,0.10606601717798213,0.1767766952966369,0.0,0.0
3,2018-05-04,16.618,19.5661,21.4172,15.6377,1220982.0,0.1307229842934651,0.24274954500018353,0.1002533755241491,0.3307009457804189
4,2018-05-01,17.703,20.4993,22.4806,15.4929,761266.0,0.4,0.45,0.2637024194985376,0.2741288108504314
5,2018-03-21,18.527,16.9156,18.429,13.0627,878063.0,0.14142135623730953,0.14142135623730953,0.0,0.0
6,2018-02-09,26.437,17.9962,16.472,11.2488,1950757.0,0.11785113019775788,0.23570226039551584,0.0,0.0
7,2018-01-30,17.763,14.0575,12.1475,10.5108,1274115.0,0.8838834764831844,0.5303300858899106,0.1767766952966369,0.5303300858899106
8,2017-12-15,11.264,12.2648,12.2881,10.2169,915508.0,0.3535533905932738,0.4419417382415922,0.0,0.3535533905932738
9,2017-11-16,11.698,12.4572,10.1147,10.1752,691181.0,0.2121320343559643,0.1767766952966369,0.0,0.0
10,2017-11-15,13.324,12.4722,9.9412,10.2145,560333.0,0.16499158227686098,0.11785113019775796,0.0,0.0
11,2017-09-11,11.546,13.4153,12.6868,11.3185,750889.0,0.0,0.0,0.15451592625928262,0.02029658353405829
12,2017-08-11,15.794,12.9743,11.663,10.8483,1073355.0,0.0,0.0,0.0,0.04714045207910312
13,2017-07-31,13.477,13.6343,11.6392,10.6142,514667.0,0.07071067811865477,0.12374368670764581,0.08292434070278598,0.058282740752345796
14,2017-07-24,12.433,14.3561,13.2916,10.4927,637304.0,0.0,0.0,0.4831896338108075,0.5509540336745183
15,2017-06-27,15.822,12.9803,12.7841,10.5089,1283653.0,0.246415999504403,0.19284730395996755,0.19445436482630057,0.03535533905932735
16,2017-06-23,13.394,12.5225,12.3439,10.6527,776926.0,0.0,0.0,0.14142135623730953,0.21213203435596426
17,2017-06-09,16.002,11.1197,9.0822,10.4097,1913766.0,0.004523578734863437,0.29308028540088893,0.11785113019775788,0.41247895569215265
18,2017-06-05,10.59,10.5114,8.8483,10.4124,451862.0,0.09320953024731762,0.12535074757397885,0.02357022603955156,0.1649915822768611
19,2017-04-24,9.492,11.5106,8.5356,11.0134,536376.0,0.1,0.15000000000000002,0.2260819323242279,0.16703662642636563
20,2017-03-08,9.762,10.1987,6.859,11.723,420114.0,0.21213203435596428,0.3535533905932738,0.6010407640085654,0.0
21,2017-03-02,10.354,10.3645,7.0652,11.7991,486922.0,0.0,0.3535533905932738,0.41921330598916745,0.5429569926968133
22,2017-03-01,10.559,10.4014,6.769,11.9122,545701.0,0.3535533905932738,0.7071067811865476,0.0,0.0
23,2017-02-02,11.233,11.6073,8.3488,13.6236,295066.0,0.3535533905932738,0.7071067811865476,0.19445436482630057,0.07828682220279637
24,2016-12-15,14.087,13.5765,12.3996,16.3938,455426.0,0.07071067811865477,0.14142135623730953,0.010101525445522048,0.4404265094247639
25,2016-12-14,14.45,13.6266,12.7704,16.4176,456226.0,0.3535533905932738,0.3535533905932738,0.03214121732666121,0.2699862255439545
26,2016-12-09,13.086,13.9405,14.8033,16.515,590561.0,0.565685424949238,0.4949747468305833,0.42426406871192857,0.49497474683058323
27,2016-11-23,12.423,16.3229,16.0753,16.7153,327573.0,0.2946278254943948,0.25927248643506745,0.03658295499888735,0.12570787221094173
28,2016-11-02,19.279,14.8265,11.3586,16.5487,450541.0,0.37749172176353746,0.38297084310253526,0.0,0.05625
29,2016-10-28,16.77,14.0171,10.9063,16.5367,782879.0,0.05509922970284784,0.05050762722761051,0.49497474683058323,0.5303300858899106
30,2016-09-22,11.491,13.1983,14.211,17.5879,616669.0,0.6138972509392299,0.23141676475196105,0.23570226039551584,0.4714045207910317
31,2016-09-15,14.328,12.7699,12.8698,17.7709,735138.0,0.0393647910811108,0.27555353756777595,0.03652748973986821,0.25454604079820015
32,2016-09-02,11.772,12.0242,6.9045,17.9818,597036.0,0.0,0.7071067811865476,0.848528137423857,0.14142135623730953
33,2016-09-01,12.99,11.9896,6.8457,18.1091,388355.0,0.14142135623730953,0.29168154723945083,0.0,0.0
34,2016-08-30,12.351,11.9136,7.2087,18.3432,265030.0,0.0,0.0,0.02357022603955156,0.3064129385141707
35,2016-08-23,11.35,11.8087,7.282,19.2154,286694.0,0.08249579113843056,0.6246109900481169,0.09428090415820632,0.2514157444218835
36,2016-07-27,12.743,13.4249,12.1336,19.859,414308.0,0.14142135623730953,0.0,0.01671343300986389,0.06042548857412315
37,2016-07-26,13.194,13.6917,12.9406,19.8632,353271.0,0.09706434774573916,0.2272727272727272,0.2521521944514199,0.3559026084010437
38,2016-07-25,12.732,14.1262,16.4588,19.9228,318929.0,0.0,0.0,0.03535533905932738,0.12374368670764581
39,2016-07-21,12.714,14.796,16.8489,19.9916,480528.0,0.14593316142435134,0.34415653048839323,0.15877132402714708,0.30364538664918544
40,2016-07-20,12.163,15.124,16.6374,19.9813,570422.0,0.29860788111948194,0.30000000000000004,0.29112306682351874,0.4243614551630475
41,2016-07-19,12.738,15.3758,17.2522,19.9821,439722.0,0.25545023181950555,0.2556658244155927,0.121875,0.275
42,2016-07-18,12.467,15.5656,17.3946,19.9988,425684.0,0.2592724864350674,0.047140452079103216,0.05999693900976763,0.18427631267285785
43,2016-07-15,12.547,15.8375,17.7179,20.0174,351242.0,0.4459890693727818,0.2544397440128671,0.48277625942735286,0.4856267428111155
44,2016-07-14,13.041,16.066,17.6157,20.0129,419044.0,0.1675595915266576,0.28358014691532607,0.4270678969117143,0.3488121724361531
45,2016-07-13,13.348,16.2866,17.7406,20.0139,306087.0,0.0,0.0,0.0,0.3535533905932738
46,2016-07-12,13.171,16.4976,17.7557,20.0425,357236.0,0.3036009777965286,0.2933420985417189,0.13975424859373684,0.30745934690622106
47,2016-07-11,13.59,16.7083,18.0019,20.0846,389381.0,0.0,0.0,0.1597303711073183,0.010101525445522189
48,2016-07-08,12.509,16.7806,17.6648,20.106,434198.0,0.23094010767585033,0.40414518843273806,0.025458753860865786,0.21103799903580647
49,2016-07-07,14.24,16.8046,17.668,20.1395,356781.0,0.26369876191790703,0.2897955856832217,0.3948745698648191,0.2834966849371795
50,2016-07-06,14.336,16.7197,17.0597,20.1832,277696.0,0.5357583756107197,0.15030832509409647,0.36055512754639885,0.5091750772173156
51,2016-07-01,14.298,16.515,16.9627,20.194,372970.0,0.1120515754264774,0.3793268892247014,0.15997082102760773,0.25441775697016195
52,2016-06-29,16.272,16.3011,16.3286,20.1843,484048.0,0.32745688152680386,0.277054614217593,0.21635929051601316,0.2448189996560573
53,2016-06-28,18.077,16.1404,15.4503,20.2015,402312.0,0.2886751345948129,0.5196152422706632,0.07872958216222166,0.26243194054073893
54,2016-06-27,21.885,15.8687,14.7385,20.1645,563297.0,0.1691821194207013,0.35516651121509923,0.1649572197684645,0.28484988288976515
55,2016-06-21,17.201,14.5143,11.3798,19.8709,324347.0,0.04971590909090905,0.2822668715539596,0.24311507207823407,0.35979460876148095
56,2016-06-20,16.533,14.4002,10.7189,19.8321,297354.0,0.09575404328567833,0.058925565098878904,0.0,0.0
57,2016-06-17,17.905,14.3223,10.6265,19.8449,469836.0,0.014731391274719717,0.041247895569215244,0.0,0.0
58,2016-06-16,17.116,14.2524,10.3016,19.8246,558655.0,0.11547005383792516,0.1,0.2,0.2516611478423583
59,2016-06-15,17.454,14.1844,11.1172,19.8285,299550.0,0.4242640687119285,0.0,0.4861359120657514,0.07071067811865478
60,2016-06-13,17.386,13.9758,11.3112,19.8456,396132.0,0.28094229198995907,0.35472994422987936,0.3233474469182824,0.40161693355941996
61,2016-06-09,12.99,13.9228,11.4706,19.8498,440836.0,0.14999999999999997,0.38622100754188227,0.04890146788043419,0.2016983310245475
62,2016-06-07,12.606,14.0971,12.0804,19.8733,230123.0,0.25,0.5,0.282842712474619,0.43588989435406744
63,2016-06-03,12.599,14.421,12.5443,19.8797,435448.0,0.15152288168283154,0.45456864504849487,0.0,0.0
64,2016-06-02,12.778,14.6623,12.5387,19.8782,282769.0,0.2732003472766206,0.20891791262329823,0.09428090415820632,0.23570226039551584
65,2016-06-01,13.06,14.901,12.7508,19.8829,255377.0,0.7107800878846658,0.5773502691896258,0.4907477288111819,0.5773502691896258
66,2016-05-31,12.643,15.0929,12.9944,19.8931,231120.0,0.7071067811865476,0.3535533905932738,0.0964236519799837,0.0321412173266613
67,2016-05-24,13.386,15.7622,13.6053,19.8904,393987.0,0.18874586088176876,0.42426406871192857,0.27080128015453203,0.14142135623730953
68,2016-05-23,14.918,15.851,13.6134,19.8898,182493.0,0.7071067811865476,0.6717514421272202,0.04566731295163117,0.6025139031360374
69,2016-05-20,14.976,15.8468,14.2855,19.8864,485392.0,0.02499999999999995,0.3,0.5715476066494082,0.444175265707881
70,2016-05-18,15.754,15.7284,14.0478,19.8767,425635.0,0.27080128015453203,0.408248290463863,0.4576259254055716,0.3682285791480306
71,2016-05-16,14.784,15.5605,13.4849,19.8248,309746.0,0.1767766952966369,0.3623922253581056,0.0,0.0
72,2016-05-13,15.776,15.501,13.4158,19.8441,510025.0,0.11547005383792516,0.11547005383792516,0.2645751311064591,0.45
73,2016-05-11,15.036,15.3994,13.1892,19.8451,357112.0,0.1767766952966369,0.3535533905932738,0.0,0.0
74,2016-05-10,13.983,15.3872,12.9554,19.8227,363392.0,0.31541089594802296,0.09414987292604689,0.25,0.2254624876411447
75,2016-05-09,15.311,15.4857,13.2339,19.8429,366784.0,0.08084721274724983,0.2205927401905905,0.3021878810146078,0.3970104330500866
76,2016-05-04,17.551,15.4918,14.3624,19.8773,401097.0,0.0,0.05773502691896258,0.40414518843273806,0.25294560972960467
77,2016-05-03,16.899,15.2951,14.3607,19.8703,343880.0,0.03125,0.25,0.2846267673536958,0.4312436369155669
78,2016-05-02,15.647,15.2043,14.1777,19.8796,391950.0,0.25,0.5773502691896257,0.2995656578003115,0.4802343178074637
79,2016-04-29,17.442,15.1027,15.1488,19.8972,940405.0,0.0964236519799837,0.3214121732666125,0.15320646925708525,0.014731391274719707
80,2016-04-28,16.667,14.8894,14.4535,19.8689,496639.0,0.260768096208106,0.38987177379235854,0.22051077071199945,0.35881750236018306
81,2016-04-27,15.372,14.7602,14.1236,19.8566,487577.0,0.0,0.0,0.5773502691896258,0.5131601439446883
82,2016-04-26,15.162,14.6708,15.2396,19.8554,262835.0,0.25,0.2545875386086578,0.1892969448600091,0.32787192621510003
83,2016-04-25,14.834,14.5966,15.2385,19.8844,216231.0,0.35,0.25,0.01666666666666665,0.47404875511092975
84,2016-04-22,14.827,14.6171,14.4921,19.8411,689846.0,0.25574325861118774,0.23764222941451701,0.3315119509325586,0.21140926552783917
85,2016-04-21,14.289,14.6413,14.5423,19.8409,340931.0,0.13926871845906566,0.27734599131422766,0.35612679823882154,0.28680323623819587
86,2016-04-20,14.193,14.705,14.7373,19.8436,284368.0,0.14142135623730953,0.14142135623730953,0.24748737341529162,0.42426406871192857
87,2016-04-19,14.27,14.7332,14.5678,19.8561,383460.0,0.0,0.05773502691896258,0.12371791482634832,0.37115374447904514
88,2016-04-18,13.594,14.7627,14.3628,19.8791,256115.0,0.24968989030858665,0.2723596006497948,0.33949752141192907,0.29603481761622447
89,2016-04-15,14.448,14.8638,14.4766,19.8792,331757.0,0.08838834764831843,0.08249579113843049,0.3535533905932738,0.3535533905932738
90,2016-04-14,14.879,14.9381,14.8271,19.8801,411884.0,0.4474554371417693,0.41958482256172064,0.1399201055506142,0.32734678547745516
91,2016-04-13,14.793,14.9847,14.6096,19.8715,475918.0,0.10573853386667469,0.24368701822065109,0.08423044728413091,0.2484906125228134
92,2016-04-12,15.952,15.1052,14.5006,19.8643,284913.0,0.06123724356957946,0.15785013990068766,0.4353477769633701,0.323784220258387
93,2016-04-11,16.853,15.1659,14.8354,19.8504,456796.0,0.2233179429393423,0.2554297610305432,0.26874299273330027,0.23234532723216927
94,2016-04-08,15.907,15.2136,15.5211,19.8368,561207.0,0.3535533905932738,0.3535533905932738,0.21213203435596428,0.03535533905932741
95,2016-04-07,16.257,15.3929,15.1468,19.8206,593216.0,0.1691821194207013,0.35516651121509923,0.0,0.5033222956847166
96,2016-04-06,13.617,15.5889,14.4947,19.7712,403038.0,0.15679947097825656,0.142952422968179,0.03858688597095053,0.07385719704873492
97,2016-04-04,13.616,16.1709,14.8182,19.8004,279075.0,0.14142135623730953,0.14142135623730953,0.6042548857412315,0.2062394778460763
98,2016-04-01,13.176,16.4416,13.6449,19.7263,487421.0,0.0,0.0,0.0,0.31819805153394637
99,2016-03-31,14.083,16.7288,13.8345,19.7392,436535.0,0.1423133836768479,0.26932217744127196,0.17723577316705408,0.3755403771176663
100,2016-03-30,13.584,16.9398,15.9385,19.7446,498028.0,0.31937438845342625,0.46151923036857306,0.03726779962499648,0.447213595499958
101,2016-03-28,15.243,17.5548,15.125,19.6963,189695.0,0.27386127875258304,0.25980762113533157,0.24392621835300937,0.39465174521342233
102,2016-03-24,15.313,17.8404,15.1957,19.8675,291430.0,0.11180339887498944,0.2890597785157173,0.16284671988758348,0.2077178408054756
103,2016-03-23,15.562,18.1324,16.8343,19.8646,307448.0,0.26998622554395457,0.1574919649006402,0.29462782549439476,0.11785113019775784
104,2016-03-22,14.757,18.4646,17.1183,19.8497,314602.0,0.11547005383792516,0.23094010767585033,0.3281553754141826,0.2503441157857319
105,2016-03-21,14.861,18.8806,17.4585,19.8666,299880.0,0.14513361052398246,0.10945160594549529,0.08629652337776966,0.20781682003108096
106,2016-03-18,15.615,19.1999,17.6045,19.8651,456285.0,0.14142135623730953,0.14142135623730953,0.05892556509887894,0.24748737341529156
107,2016-03-17,15.934,19.5702,18.1754,19.8983,518296.0,0.5033222956847166,0.46188021535170065,0.0,0.5773502691896258
108,2016-03-16,15.811,19.991,18.7248,19.8825,350306.0,0.19245008972987526,0.5058912194592093,0.30830517889476544,0.5
109,2016-03-15,17.202,20.4229,19.5018,19.8964,165365.0,0.2041241452319315,0.2041241452319315,0.5187207722917542,0.3598490067155456
110,2016-03-14,17.167,20.8463,19.7853,19.8996,227442.0,0.09831920802501751,0.13291601358251257,0.30873066878808797,0.28072539677379027
111,2016-03-10,19.492,22.0784,20.5373,19.8125,561986.0,0.1788854381999832,0.40249223594996214,0.4381780460041329,0.46043457732885357
112,2016-03-09,20.176,22.6355,21.9415,19.8534,319463.0,0.6291528696058958,0.31666666666666665,0.32659863237109044,0.45
113,2016-03-08,20.768,23.2008,23.1589,19.8427,430961.0,0.07071067811865477,0.2710575994548432,0.05892556509887894,0.05892556509887894
114,2016-03-07,19.571,23.6786,25.0408,19.848,346077.0,0.07071067811865477,0.03535533905932738,0.2357022603955158,0.29462782549439487
115,2016-03-04,19.031,24.0963,25.2223,19.8352,771189.0,0.2394159560263267,0.37682887362833545,0.05477225575051661,0.0447213595499958
116,2016-03-03,18.92,24.3424,26.1627,19.8333,343296.0,0.062102731914906624,0.18741797512038344,0.23567016772128846,0.33054028038286465
117,2016-03-02,18.304,24.5903,26.6769,19.8318,562634.0,0.4193248541803042,0.4856267428111155,0.0,0.25
118,2016-03-01,18.457,24.8563,25.5553,19.6805,562448.0,0.04123930494211611,0.10763774595253046,0.2001301659753805,0.2724311839712921
119,2016-02-29,21.104,25.0007,26.3322,19.6756,361826.0,0.23570347786272486,0.24210324391931107,0.10434918582645784,0.3149695807167091
120,2016-02-26,20.955,25.0732,26.8478,19.6615,726878.0,0.10999438818457402,0.2042752923427804,0.0,0.2514157444218835
121,2016-02-25,21.153,25.28,27.6725,19.6538,413835.0,0.24795459560468217,0.26921525189307505,0.3500646967840323,0.3498687934575551
122,2016-02-24,22.207,25.5149,26.7695,19.5234,713035.0,0.11814539065631521,0.36324157862838946,0.24166666666666664,0.5057996968497839
123,2016-02-23,23.076,25.623,26.7641,19.4876,434157.0,0.3,0.5773502691896257,0.1,0.05773502691896258
124,2016-02-22,21.246,25.7223,27.5352,19.4681,341292.0,0.26715262195228023,0.3474697006034707,0.2342967615051276,0.3682285791480306
125,2016-02-19,23.021,25.8416,27.9386,19.4605,454552.0,0.18427786989579983,0.31545822051246164,0.0,0.0
126,2016-02-18,24.351,26.0626,29.2218,19.4108,551288.0,0.040824829046386304,0.040824829046386304,0.20032124406324275,0.3396015578689177
127,2016-02-17,24.449,26.2327,29.5838,19.3416,726138.0,0.0,0.0,0.09428090415820639,0.09428090415820632
128,2016-02-12,28.172,26.4095,31.2338,19.259,607966.0,0.2361887464866651,0.3101585838042178,0.17499999999999996,0.29166666666666663
129,2016-02-11,31.444,26.2093,32.1272,19.1722,802558.0,0.2886751345948129,0.31754264805429416,0.0,0.5773502691896258
130,2016-02-10,30.634,25.8932,31.6711,19.1031,574967.0,0.1818402324037406,0.2673294028891085,0.2468574626129373,0.2642854194654752
131,2016-02-09,31.483,25.4562,31.1323,18.9563,898660.0,0.0,0.0,0.18785397426261308,0.2357210496865015
132,2016-02-04,23.953,24.8426,30.3747,18.5453,,0.3535533905932738,0.3535533905932738,0.0021044844678170522,0.3809116886748961
133,2016-02-03,23.877,24.6993,29.581,18.4253,669271.0,0.07872958216222166,0.26243194054073893,0.0,0.5773502691896258
134,2016-02-01,21.345,24.3363,30.1954,18.3733,395997.0,0.2795499027868695,0.38188130791298663,0.15275252316519466,0.2081665999466133
135,2016-01-29,22.552,24.1745,29.5318,18.2954,613153.0,0.23094010767585033,0.35029749261639503,0.2886751345948129,0.2886751345948129
136,2016-01-28,25.092,23.8743,29.1593,18.3311,379850.0,0.1611430364282007,0.3000685792670977,0.15386724865393978,0.4324710973001548
137,2016-01-27,25.852,23.3947,28.3947,18.3326,755918.0,0.0,0.0,0.4143019316090373,0.35596041764505376
